epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
109,11452.1,1.08989,1.83516,0.9597,1.41075,0,0.77604,0.78077,0.81667,0.54752,0.84785,0.72699,0.82186,0.52604,1.19943,1.95769,0.89389,1.5077,0,0.000715761,0.000715761,0.000715761
110,11556.5,1.07847,1.82791,0.94455,1.39935,0,0.807,0.76533,0.81591,0.54639,0.82501,0.77034,0.8255,0.52893,1.19903,1.9557,0.89856,1.51327,0,0.000711059,0.000711059,0.000711059
111,11661.5,1.08273,1.83959,0.95767,1.40438,0,0.79942,0.76319,0.81695,0.54653,0.80632,0.77062,0.82233,0.52213,1.19517,1.96597,0.88795,1.50023,0,0.000706335,0.000706335,0.000706335
112,11765.8,1.08408,1.83848,0.93724,1.38796,0,0.80173,0.77456,0.81688,0.54932,0.81564,0.788,0.82699,0.52704,1.17647,1.92693,0.88817,1.49535,0,0.000701588,0.000701588,0.000701588
113,11871.1,1.06544,1.79206,0.9119,1.37966,0,0.82412,0.7456,0.81904,0.55432,0.83098,0.75181,0.82206,0.5313,1.17151,1.94684,0.88637,1.48072,0,0.00069682,0.00069682,0.00069682
114,11977.1,1.07259,1.80094,0.94886,1.38002,0,0.83383,0.74725,0.82272,0.5539,0.84537,0.75759,0.82696,0.53188,1.16498,1.92917,0.87591,1.48489,0,0.000692031,0.000692031,0.000692031
115,12083,1.06064,1.80017,0.94409,1.37167,0,0.83499,0.75353,0.81593,0.54694,0.8465,0.75278,0.81664,0.52469,1.18341,1.94579,0.89424,1.49839,0,0.000687222,0.000687222,0.000687222
116,12188,1.07684,1.80071,0.92967,1.38518,0,0.81988,0.77973,0.8291,0.55651,0.82885,0.79214,0.83339,0.53298,1.17644,1.9728,0.87048,1.5024,0,0.000682392,0.000682392,0.000682392
117,12293.2,1.07038,1.8074,0.9374,1.38016,0,0.81362,0.78551,0.8229,0.5475,0.82181,0.79172,0.8301,0.53174,1.18913,1.96018,0.88112,1.5092,0,0.000677543,0.000677543,0.000677543
118,12397.7,1.05709,1.81098,0.92695,1.38325,0,0.83729,0.75031,0.81312,0.54694,0.84869,0.75987,0.82263,0.52423,1.19328,1.96743,0.88582,1.50573,0,0.000672675,0.000672675,0.000672675
119,12502.3,1.05051,1.78713,0.92463,1.37277,0,0.84156,0.75798,0.81587,0.54941,0.84818,0.77353,0.82612,0.53057,1.1788,1.9462,0.88887,1.49441,0,0.000667789,0.000667789,0.000667789
120,12606.8,1.05702,1.80731,0.91673,1.37817,0,0.81645,0.77456,0.81667,0.55356,0.83301,0.77379,0.82635,0.53168,1.17722,1.94383,0.87106,1.50522,0,0.000662885,0.000662885,0.000662885
121,12711.4,1.06933,1.79829,0.93222,1.37832,0,0.84399,0.75181,0.82676,0.55639,0.8231,0.78283,0.83095,0.53205,1.16896,1.97022,0.87993,1.48593,0,0.000657963,0.000657963,0.000657963
