epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,3987.84,1.26829,2.10506,1.18959,1.55127,0,0.72337,0.71975,0.75053,0.47174,0.77637,0.69291,0.75389,0.45944,1.31999,2.1092,1.08666,1.61695,0,0.000922942,0.000922942,0.000922942
56,4059.56,1.25001,2.11095,1.20026,1.53734,0,0.76615,0.68976,0.77247,0.49354,0.77608,0.69531,0.77299,0.47728,1.27059,2.06027,1.08159,1.58234,0,0.000920142,0.000920142,0.000920142
57,4131.51,1.25792,2.10177,1.18763,1.54093,0,0.77882,0.71975,0.7772,0.48956,0.79703,0.70734,0.77714,0.47439,1.29562,2.0568,1.06338,1.59378,0,0.000917296,0.000917296,0.000917296
58,4203.34,1.25453,2.09543,1.15741,1.53081,0,0.78646,0.70114,0.78006,0.49749,0.7956,0.70842,0.78103,0.48314,1.27108,2.06233,1.02706,1.57653,0,0.000914405,0.000914405,0.000914405
59,4274.85,1.24426,2.06106,1.14358,1.52971,0,0.76206,0.71768,0.77846,0.49453,0.77447,0.72088,0.77943,0.48591,1.2941,2.04538,1.0436,1.58453,0,0.000911469,0.000911469,0.000911469
60,4346.56,1.24479,2.05823,1.16311,1.5214,0,0.77255,0.71251,0.77844,0.49699,0.78339,0.71872,0.78142,0.48267,1.27201,2.01625,1.05548,1.56765,0,0.000908488,0.000908488,0.000908488
61,4418.45,1.23894,2.07422,1.14731,1.52665,0,0.80326,0.71148,0.78164,0.49776,0.81075,0.72215,0.78959,0.49065,1.26851,2.05185,1.04501,1.57881,0,0.000905463,0.000905463,0.000905463
62,4490.54,1.23894,2.06961,1.13878,1.51601,0,0.78688,0.68729,0.77745,0.50208,0.79269,0.697,0.78211,0.48211,1.26777,2.06798,1.04773,1.5737,0,0.000902395,0.000902395,0.000902395
63,4562.3,1.22615,2.03587,1.11782,1.51084,0,0.76168,0.7271,0.77513,0.50234,0.76203,0.73216,0.77639,0.49153,1.25068,2.02535,1.01819,1.56117,0,0.000899282,0.000899282,0.000899282
64,4633.87,1.21089,2.02875,1.122,1.49462,0,0.80387,0.71768,0.7799,0.49621,0.80623,0.72079,0.78155,0.48385,1.29286,2.06822,1.02041,1.60384,0,0.000896127,0.000896127,0.000896127
