epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,5270.01,0.95202,1.61381,0.66715,1.08742,0,0.82501,0.75808,0.82239,0.55968,0.82995,0.77463,0.82736,0.52619,1.21403,2.1427,0.8316,1.26605,0,0.000713,0.000713,0.000713
67,5349.47,0.95551,1.60539,0.66241,1.08457,0,0.82396,0.78527,0.82312,0.56743,0.84878,0.78604,0.83213,0.53486,1.21967,2.14788,0.81131,1.26718,0,0.0006932,0.0006932,0.0006932
68,5429.29,0.94581,1.60037,0.6665,1.08633,0,0.8024,0.79194,0.82851,0.57596,0.80876,0.79461,0.8301,0.53586,1.19146,2.11081,0.79124,1.24447,0,0.0006734,0.0006734,0.0006734
69,5509.2,0.95317,1.61315,0.66997,1.08755,0,0.81404,0.77386,0.82499,0.57087,0.8351,0.77905,0.83367,0.54156,1.19979,2.11853,0.79167,1.25263,0,0.0006536,0.0006536,0.0006536
70,5589.07,0.92555,1.56924,0.64913,1.07908,0,0.84754,0.7749,0.83145,0.57267,0.84907,0.78838,0.83591,0.54089,1.18394,2.12205,0.78829,1.25582,0,0.0006338,0.0006338,0.0006338
71,5669.17,0.9413,1.61596,0.66362,1.08529,0,0.83474,0.78631,0.82899,0.57241,0.83212,0.79182,0.83057,0.53854,1.18124,2.12902,0.78931,1.24322,0,0.000614,0.000614,0.000614
72,5748.87,0.93453,1.56736,0.64818,1.07654,0,0.84246,0.78631,0.83392,0.57514,0.85072,0.78942,0.8367,0.54438,1.19036,2.13738,0.7716,1.25711,0,0.0005942,0.0005942,0.0005942
73,5828.64,0.9275,1.56774,0.63811,1.07475,0,0.8393,0.7749,0.8272,0.56901,0.8467,0.77386,0.82885,0.53788,1.20535,2.12552,0.79714,1.26542,0,0.0005744,0.0005744,0.0005744
74,5908.21,0.92884,1.54698,0.63101,1.07198,0,0.85525,0.76349,0.8238,0.58033,0.86339,0.77075,0.83506,0.54728,1.18662,2.12453,0.77056,1.25313,0,0.0005546,0.0005546,0.0005546
75,5987.85,0.93391,1.57205,0.63535,1.07595,0,0.8491,0.76763,0.82828,0.57448,0.85751,0.77386,0.83141,0.5431,1.18554,2.14393,0.79314,1.24832,0,0.0005348,0.0005348,0.0005348
76,6067.44,0.90621,1.54217,0.61329,1.06794,0,0.82914,0.79253,0.83506,0.57825,0.84164,0.78836,0.83035,0.5432,1.19271,2.13467,0.77642,1.25375,0,0.000515,0.000515,0.000515
77,6147.28,0.92003,1.54048,0.6265,1.07213,0,0.8498,0.75622,0.83134,0.57909,0.86263,0.76763,0.83549,0.54659,1.18364,2.12756,0.76495,1.24708,0,0.0004952,0.0004952,0.0004952
78,6227,0.91012,1.53874,0.61177,1.06309,0,0.84886,0.75104,0.82594,0.57149,0.85603,0.7583,0.83065,0.5458,1.18653,2.13009,0.79602,1.25853,0,0.0004754,0.0004754,0.0004754
79,6306.92,0.91082,1.54279,0.62818,1.06245,0,0.85083,0.75415,0.82281,0.57393,0.85781,0.7635,0.82487,0.54255,1.18136,2.14371,0.78835,1.26168,0,0.0004556,0.0004556,0.0004556
80,6386.65,0.90179,1.53429,0.59949,1.06515,0,0.83502,0.7749,0.82557,0.58054,0.84284,0.78216,0.82698,0.54186,1.17268,2.13607,0.79224,1.23778,0,0.0004358,0.0004358,0.0004358
81,6466.16,0.9015,1.52892,0.60897,1.05884,0,0.8401,0.78483,0.83258,0.58146,0.84421,0.78423,0.82959,0.54684,1.16674,2.13871,0.77331,1.23837,0,0.000416,0.000416,0.000416
82,6546.02,0.88055,1.51286,0.59996,1.05023,0,0.83632,0.78445,0.82645,0.57758,0.84591,0.79156,0.82898,0.54177,1.16343,2.12252,0.77483,1.23091,0,0.0003962,0.0003962,0.0003962
83,6625.99,0.88477,1.51305,0.59983,1.049,0,0.84655,0.78423,0.83485,0.58676,0.85741,0.77697,0.83428,0.55149,1.15594,2.13094,0.76435,1.23336,0,0.0003764,0.0003764,0.0003764
84,6706.36,0.88155,1.49389,0.58766,1.04947,0,0.86033,0.78216,0.83551,0.58756,0.8649,0.78631,0.83478,0.55093,1.15539,2.10735,0.77659,1.2317,0,0.0003566,0.0003566,0.0003566
85,6786.84,0.87639,1.49842,0.59404,1.04806,0,0.85216,0.75934,0.82711,0.58492,0.86365,0.76867,0.83311,0.55283,1.15865,2.10293,0.77032,1.23507,0,0.0003368,0.0003368,0.0003368
86,6867.04,0.86253,1.47609,0.57749,1.04641,0,0.86941,0.75274,0.83059,0.5838,0.86879,0.76556,0.83283,0.54872,1.16456,2.1414,0.7654,1.23533,0,0.000317,0.000317,0.000317
87,6947.56,0.86104,1.49401,0.57817,1.04324,0,0.84896,0.77386,0.83159,0.58558,0.85535,0.78008,0.83607,0.54995,1.15958,2.13705,0.77033,1.23884,0,0.0002972,0.0002972,0.0002972
